name,url
Affix-Hapvida-Backoffice-Manual-ASSCOMPE-RECIFE-DESCONTO-01-25.pdf,https://www.affix.com.br/wp-content/uploads/2019/03/Affix-Hapvida-Backoffice-Manual-ASSCOMPE-RECIFE-DESCONTO-01-25.pdf
Affix-Hapvida-AD-Manual-JUAZEIRO-DO-NORTE-08-25.pdf,https://www.affix.com.br/wp-content/uploads/2019/02/Affix-Hapvida-AD-Manual-JUAZEIRO-DO-NORTE-08-25.pdf
Affix-PME-Hapvida-Manual-Corretor-Juazeiro-do-Norte-02-24-DESCONTO.pdf,https://www.affix.com.br/wp-content/uploads/2019/02/Affix-PME-Hapvida-Manual-Corretor-Juazeiro-do-Norte-02-24-DESCONTO.pdf
Affix-PB-Hapvida-Pref.-Joao-Pessoa-Manual-09-24.pdf,https://www.affix.com.br/wp-content/uploads/2019/02/Affix-PB-Hapvida-Pref.-Joao-Pessoa-Manual-09-24.pdf
Alter-PME-Hapvida-Manual-UBERLANDIA-02-24.pdf,https://www.alter.com.br/wp-content/uploads/2023/04/Alter-PME-Hapvida-Manual-UBERLANDIA-02-24.pdf
Alter-PME-Hapvida-Manual-BELO-HORIZONTE-12-23.pdf,https://www.alter.com.br/wp-content/uploads/2023/04/Alter-PME-Hapvida-Manual-BELO-HORIZONTE-12-23.pdf
Alter-PME-Hapvida-Manual-PARAUAPEBAS-DESCONTO-02-25-1.pdf,https://www.alter.com.br/wp-content/uploads/2023/04/Alter-PME-Hapvida-Manual-PARAUAPEBAS-DESCONTO-02-25-1.pdf
Alter-PME-Hapvida-Manual-ARACAJU-DESCONTO-07-25.pdf,https://www.alter.com.br/wp-content/uploads/2023/04/Alter-PME-Hapvida-Manual-ARACAJU-DESCONTO-07-25.pdf
Alter-Hapvida-AD-MACEIO-Manual-DESCONTO-08-25B.pdf,https://www.alter.com.br/wp-content/uploads/2023/04/Alter-Hapvida-AD-MACEIO-Manual-DESCONTO-08-25B.pdf
Alter-PME-Hapvida-Manual-MACEIO-DESCONTO-07-25.pdf,https://www.alter.com.br/wp-content/uploads/2023/04/Alter-PME-Hapvida-Manual-MACEIO-DESCONTO-07-25.pdf
Alter-Hapvida-AD-MANAUS-Manual-DESCONTO-08-25B-1.pdf,https://www.alter.com.br/wp-content/uploads/2023/03/Alter-Hapvida-AD-MANAUS-Manual-DESCONTO-08-25B-1.pdf
Alter-PME-Hapvida-Manual-MANAUS-DESCONTO-07-25.pdf,https://www.alter.com.br/wp-content/uploads/2023/03/Alter-PME-Hapvida-Manual-MANAUS-DESCONTO-07-25.pdf
Alter-Hapvida-AD-CAMACARI-Manual-DESCONTO-08-25B.pdf,https://www.alter.com.br/wp-content/uploads/2023/03/Alter-Hapvida-AD-CAMACARI-Manual-DESCONTO-08-25B.pdf
Alter-Hapvida-AD-FEIRA-DE-SANTANA-Manual-DESCONTO-08-25B.pdf,https://www.alter.com.br/wp-content/uploads/2023/03/Alter-Hapvida-AD-FEIRA-DE-SANTANA-Manual-DESCONTO-08-25B.pdf
Alter-Hapvida-AD-SALVADOR-Manual-DESCONTO-08-25B.pdf,https://www.alter.com.br/wp-content/uploads/2023/03/Alter-Hapvida-AD-SALVADOR-Manual-DESCONTO-08-25B.pdf
Alter-Hapvida-AD-FORTALEZA-Manual-DESCONTO-08-25B.pdf,https://www.alter.com.br/wp-content/uploads/2023/04/Alter-Hapvida-AD-FORTALEZA-Manual-DESCONTO-08-25B.pdf
Alter-Hapvida-AD-JUAZEIRO-DO-NORTE-Manual-DESCONTO-08-25B.pdf,https://www.alter.com.br/wp-content/uploads/2023/04/Alter-Hapvida-AD-JUAZEIRO-DO-NORTE-Manual-DESCONTO-08-25B.pdf
Alter-PME-Hapvida-Manual-FORTALEZA-DESCONTO-07-25.pdf,https://www.alter.com.br/wp-content/uploads/2023/04/Alter-PME-Hapvida-Manual-FORTALEZA-DESCONTO-07-25.pdf
Alter-PME-Hapvida-Manual-JUAZEIRO-DO-NORTE-DESCONTO-07-25.pdf,https://www.alter.com.br/wp-content/uploads/2023/04/Alter-PME-Hapvida-Manual-JUAZEIRO-DO-NORTE-DESCONTO-07-25.pdf

